Word,AoA_Read_Mean,AoA_Read_Std.Dv,AoA_Write_Mean,AoA_Write_Std.Dv
muumuu,8.416666667,3.782478401,8.684210526,3.555393795
enclose,8.66932133,3.581480479,9.77027027,3.790695104
phoney,9.076923077,3.701952652,10.07692308,3.937903633
frogman,9.355263158,3.668543961,10.51315789,3.411995616
substitution,10.04166667,4.104657633,10.61428571,3.966932646
woodcarver,9,3.097514261,9.644736842,2.758054286
refight,9.105263158,3.665319378,10.09459459,3.40717755
eavesdrop,10.125,4.034128598,10.58823529,4.114774909
petunia,10.46373457,2.977249268,11.33783784,3.358352055
thumbhole,11,4.102844542,11.32857143,3.964813728
fitter,8.014285714,2.237664599,8.143900657,2.162425416
hairdress,9.486486486,4.496119448,10.45945946,4.511372017
velveteen,10.53125,3.967483764,10.79411765,3.739870454
lessen,6.795847751,2.381026029,8.210284665,2.341766287
dusky,7.466398831,3.015119998,8.344875346,2.977830978
bookend,8.5,3.321190002,9.19877551,2.717460265
toilette,7.732253086,2.311365817,9.013513514,2.856489898
busyness,8.307484568,2.418208213,9.25,3.14889513
mulberry,8.398891967,3.132810081,9.312271731,2.982350729
stringed,9.025641026,3.561395199,9.775,3.337721471
jolliness,10.60526316,3.904532873,11.44736842,3.506344585
boiler,6.921875,2.083380376,7.953125,2.437474152
comedian,6.865714286,1.718744901,8.035918367,2.213069255
pained,7.649305556,2.54299097,8.527027027,3.004501128
thermostat,7.734861592,2.431548151,9.25,2.982905844
plumper,8.765625,3.362469271,9.666666667,3.624281538
unseal,8.189189189,4.221886347,9.230769231,4.105269646
spasm,8.344897959,2.502428935,8.631482834,2.577916257
passive,7.454293629,2.347867464,8.565789474,3.002636348
unsaved,7.586911357,2.710363243,8.708102493,2.69770035
occupy,8.462370242,2.986081425,8.735803324,2.863324295
dominate,8.361111111,3.283315204,9.027027027,3.54915081
clone,9.046875,4.374337507,8.928571429,4.343932308
goulash,7.777006173,2.577769534,9.319444444,3.117124998
funnyman,8.099480969,2.765094738,9.007785467,2.711188984
geographic,7.870844875,2.259362524,8.92184076,2.250220108
wince,8.77027027,4.045907731,9.602564103,3.752507034
readymade,8.675675676,3.134078405,9.384615385,3.225028638
preheat,8.321395776,3.030875319,9.625,3.786648872
disapproval,8.55,3.780516855,9.55,3.34702317
engagement,8.796280277,3.167516702,9.051311728,3.078848482
humiliate,8.223684211,3.044040186,9.243243243,3.243843788
steadiness,8.344182825,2.365767295,9.30367036,2.764577265
vagina,9.242857143,3.969315078,9.9,3.88397916
warp,8.158144631,2.654857788,8.83033241,3.045416852
spongy,8.911764706,3.869990581,9.360408163,3.177730671
blinker,9.099480969,3.347589427,9.567567568,4.086159162
puncture,8.979570637,3.351216701,9.573753463,3.162854006
bumpiness,9.90625,3.579596076,10.38235294,3.865266512
homelessness,9.006574142,3.039360167,10.02702703,3.470002293
